bangla,english,santali
একটি গুপ্তচর গ্রামে আছে।,One spy is in the village.,mit̪ʔʈɛn baʈ paɽ d̪ɔ at̪oɾɛ menaa.
গতকাল তারা কথা লিখে গ্রামে খেলবে।,"Yesterday, they write the word and then play in the village.",hɔlaɾɛ oŋko kat̪ʰa ɔlɔʔkat̪ɛ at̪oɾɛ gat̪ea.
আড়ালে একটি ঢাল আছে।,There is a declivity in the covert.,ao̯tanɾɛ anaɽgo menaa.
বিস্তীর্ণ ভূমিে একটি কিশোর আছে।,There is a lad in the wide expanse of land.,bilənɾɛ bat͡ʃʰɽa menaa.
ভাষাটি নতুন।,The language is new.,pɘɾsi d̪ɔ nɔwaa.
আমরা ঘড়ি কিনব না।,We do not buy the watch.,alɛ d̪ɔ gʰuɽi balɛ kiɾiɲa.
তারা মাছ খেয়েছিল।,They ate the fish.,oŋkoko haku ɟɔmkeda.
তারা দুধ পান করবে।,They will drink the milk.,oŋko d̪ɔ t̪o̯͡a ɲua.
তুমি মোবাইল ফোন ও মাছ কিনবে।,You will buy the mobile phone and the fish.,am d̪ɔ mɔbaĭl pʰon aɾ haku kiɾiɲa.
আমরা যাচ্ছি।,We are going.,alɛlɛ calaʔɛd̪a.
সে পানি পান করবে।,He/she will drink the water.,uni d̪ɔ d̪aʔ ɲua.
তুমি খাবার ও মধু খাবে।,You will eat the food and the honey.,am d̪ɔ ɟɔmaʔ aɾ ɲɛlɛɾasa ɟɔma.
আমরা ছবি পাব।,We will get the photo.,alɛ d̪ɔ pʰɔʈɔ ɲama.
গতকাল আমরা দুধ পান করে শহরে যাব।,"Yesterday, we drink the milk and then go to the town.",hɔlaɾɛ alɛ t̪o̯͡a ɲukat̪ɛ sɔhɔɽɾɛ calaʔa.
সে বাবা সাহায্য করবে।,He/she will help the father.,uni d̪ɔ baba gɔɽɔa.
তোমরা মধু খেয়েছিলে।,You all ate the honey.,apɛpɛ ɲɛlɛɾasa ɟɔmkeda.
আমি খাবার পেয়েছি।,I have gotten the food.,iɲ d̪ɔ ɟɔmaʔ ɲamakada.
ইংল্যান্ডে একটি জীবন আছে।,There is a life in the england.,bilətɾɛ ɟiŋgi menaa.
তোমরা ভাষা বলবে।,You all will speak the language.,apɛ d̪ɔ pɘɾsi ɾɔɽa.
গতকাল তোমরা পানি পান করে হ্রদে যাবে।,"Yesterday, you all drink the water and then go to the lake.",hɔlaɾɛ apɛ d̪aʔ ɲukat̪ɛ ɟɔlaɾɛ calaʔa.
অজ্ঞতাটি পরিষ্কার।,The ignorance is clean.,bʰut͡ʃ d̪ɔ sapʰaa.
তোমরা মাছ বিক্রি করবে।,You all will sell the fish.,apɛ d̪ɔ haku ɘkʰɾiɲa.
তোমরা খাবার খাবে।,You all will eat the food.,apɛ d̪ɔ ɟɔmaʔ ɟɔma.
আমরা মাছ কিনব।,We will buy the fish.,alɛ d̪ɔ haku kiɾiɲa.
সে রান্না ও মাছ খাবে।,He/she will eat the cooked food and the fish.,uni d̪ɔ basaŋ aɾ haku ɟɔma.
নদীতে একটি ছেঁড়া আছে।,There is a rent in the river.,gaɖaɾɛ baŋ baŋ menaa.
উঠানে একটি খাবার আছে।,There is a food in the courtyard of house.,bəteɾɛ ɟɔmaʔ menaa.
আখটি নতুন।,The sugarcane is new.,ək d̪ɔ nɔwaa.
তার হাত নতুন।,His/her hand is new.,uniaʔ t̪i d̪ɔ nɔwaa.
সেই সময় সে দুধ পান করে হ্রদে কাজ করবে।,"At that time, he/she drink the milk and then work in the lake.",ɔkt̪ɛɾɛ uni t̪o̯͡a ɲukat̪ɛ ɟɔlaɾɛ kɘmia.
বাড়িতে একটি জোর খাটানো শ্রম আছে।,There is a forced labour in the house.,ɔɽaʔɾɛ begaɾ menaa.
কুয়ায় একটি উৎসব আছে।,There is a festival in the well.,kuɲɾɛ pɔɾɔb menaa.
আমি ঘড়ি ও মাছ কিনব।,I will buy the watch and the fish.,iɲ d̪ɔ gʰuɽi aɾ haku kiɾiɲa.
স্কুলে একটি ঢাল আছে।,There is a declivity in the school.,iskulɾɛ anaɽgo menaa.
তুমি পাঠ পড়বে না।,You do not study the lesson.,am d̪ɔ sikʰnɘt̪ bam paɽha͡o̯a.
তোমার রোগ গুরুত্বপূর্ণ।,Your illness is important.,amaʔ ɾu̯͡ɘ d̪ɔ ɟɘɾuɽa.
আমি টাকা পেয়েছিলাম।,I got the money.,iɲiɲ ʈaka ɲamkeda.
একটি স্ত্রী শহরে আছে।,One wife is in the town.,mit̪ʔʈɛn bəhu d̪ɔ sɔhɔɽɾɛ menaa.
বাসস্থানে একটি ঘাম আছে।,There is a perspiration in the residence.,basaɾɛ balbal menaa.
আমি ঘড়ি কিনেছি।,I have bought the watch.,iɲ d̪ɔ gʰuɽi kiɾiɲakada.
তাদের ঔষধ নতুন।,Their medicine is new.,oŋkoaʔ ɾan d̪ɔ nɔwaa.
আমরা ছবি পাব না।,We do not get the photo.,alɛ d̪ɔ pʰɔʈɔ balɛ ɲama.
তাদের নদী পরিষ্কার।,Their river is clean.,oŋkoaʔ gaɖa d̪ɔ sapʰaa.
তোমরা দুধ পান করবে।,You all will drink the milk.,apɛ d̪ɔ t̪o̯͡a ɲua.
তোমার ভিক্ষুক ভালো।,Your beggar is good.,amaʔ bʰikʰəɾi d̪ɔ mɔ̃ɟa.
একটি শিশু হ্রদে আছে।,One baby is in the lake.,mit̪ʔʈɛn bale d̪ɔ ɟɔlaɾɛ menaa.
আমি ঘড়ি বিক্রি করব।,I will sell the watch.,iɲ d̪ɔ gʰuɽi ɘkʰɾiɲa.
সেই সময় আমরা কথা লিখে শহরে কাজ করব।,"At that time, we write the word and then work in the town.",ɔkt̪ɛɾɛ alɛ kat̪ʰa ɔlɔʔkat̪ɛ sɔhɔɽɾɛ kɘmia.
আমাদের ভাষা ভালো।,Our language is good.,alɛaʔ pɘɾsi d̪ɔ mɔ̃ɟa.
তোমরা খাবার কিনবে না।,You all do not buy the food.,apɛ d̪ɔ ɟɔmaʔ bapɛ kiɾiɲa.
আড়ালে একটি শুকর আছে।,There is a pig in the covert.,ao̯tanɾɛ suk̚ɾi menaa.
দয়া করে শহরে অপেক্ষা করো।,Please wait in the town.,d̪a.ja kat̪ɛ sɔhɔɽɾɛ t̪ɘŋgimɛ.
আমি রান্না খেয়েছি।,I have eaten the cooked food.,iɲ d̪ɔ basaŋ ɟɔmakada.
আমি শব্দ করছি।,I am sounding.,iɲiɲ ɾaːgɛd̪a.
তাদের কাজ গুরুত্বপূর্ণ।,Their work is important.,oŋkoaʔ kɘmi d̪ɔ ɟɘɾuɽa.
কুয়াটি ভালো।,The well is good.,kuɲ d̪ɔ mɔ̃ɟa.
আমরা ভাষা লিখেছি।,We have written the language.,alɛ d̪ɔ pɘɾsi ɔlɔʔakada.
পাড়াে একটি ছবি আছে।,There is a photo in the neighbourhood.,aɖe paseɾɛ pʰɔʈɔ menaa.
দয়া করে বাড়িতে অপেক্ষা করো।,Please wait in the house.,d̪a.ja kat̪ɛ ɔɽaʔɾɛ t̪ɘŋgimɛ.
গতকাল আমরা রান্না খেয়ে নদীতে যাব।,"Yesterday, we eat the cooked food and then go to the river.",hɔlaɾɛ alɛ basaŋ ɟɔmkat̪ɛ gaɖaɾɛ calaʔa.
আমরা রান্না খাব না।,We do not eat the cooked food.,alɛ d̪ɔ basaŋ balɛ ɟɔma.
আমরা ঔষধ ও খাবার কিনব।,We will buy the medicine and the food.,alɛ d̪ɔ ɾan aɾ ɟɔmaʔ kiɾiɲa.
তুমি বলছ।,You is speaking.,amɛm ɾɔɽɛd̪a.
আমি ভাষা বলেছিলাম।,I spoke the language.,iɲiɲ pɘɾsi ɾɔɽkeda.
উঠানে একটি রোগ আছে।,There is an illness in the courtyard of house.,bəteɾɛ ɾu̯͡ɘ menaa.
আমার রোগ ভালো।,My illness is good.,iɲaʔ ɾu̯͡ɘ d̪ɔ mɔ̃ɟa.
সে বিঘত ও ছোট মশা দেখবে।,He/she will see the span and the midge.,uni d̪ɔ beɽ aɾ bəsɳɖi ɲɛla.
সেই সময় আমরা পাঠ পড়ে হ্রদে যাব।,"At that time, we study the lesson and then go to the lake.",ɔkt̪ɛɾɛ alɛ sikʰnɘt̪ paɽha͡o̯kat̪ɛ ɟɔlaɾɛ calaʔa.
"তুমি মধু খাবে, কিন্তু খাবার খাবে না।","You will eat the honey, but do not eat the food.",am d̪ɔ ɲɛlɛɾasa ɟɔma mɛnkʰan ɟɔmaʔ bam ɟɔma.
গুহাে একটি শুকর আছে।,There is a pig in the cave.,bʰugək̕ɾɛ suk̚ɾi menaa.
জেলেটি ছোট।,The fisherman is small.,ɟɘliɘ d̪ɔ lɘʈua.
বাড়িতে একটি বালিয়া সারস পাখি আছে।,There is a sand martin in the house.,ɔɽaʔɾɛ bʰəluə̯ menaa.
আমার মানুষ আনন্দের।,My person is happy.,iɲaʔ hɔɽ d̪ɔ ɾɘskɘa.
তোমরা পাঠ পড়বে না।,You all do not study the lesson.,apɛ d̪ɔ sikʰnɘt̪ bapɛ paɽha͡o̯a.
আড়ালে একটি উৎসব আছে।,There is a festival in the covert.,ao̯tanɾɛ pɔɾɔb menaa.
দয়া করে স্কুলে আসো।,Please come to the school.,d̪a.ja kat̪ɛ iskulɾɛ hiɟuʔmɛ.
"আমি পানি পান করব, কিন্তু পানি পান করব না।","I will drink the water, but do not drink the water.",iɲ d̪ɔ d̪aʔ ɲua mɛnkʰan d̪aʔ bɘɲ ɲua.
সেই সময় আমি বাদ পড়া দেখে বাড়িতে আসব।,"At that time, I see the omission and then come to the house.",ɔkt̪ɛɾɛ iɲ bʰul t͡ʃuk ɲɛlkat̪ɛ ɔɽaʔɾɛ hiɟuʔa.
বাড়িতে একটি স্কুল আছে।,There is a school in the house.,ɔɽaʔɾɛ iskul menaa.
আমরা মানুষ সাহায্য করব।,We will help the person.,alɛ d̪ɔ hɔɽ gɔɽɔa.
ভাড়াটে কর্মীটি গুরুত্বপূর্ণ।,The hired worker is important.,bənkəɾ d̪ɔ ɟɘɾuɽa.
বন্ধকীটি নতুন।,The mortgage is new.,bəndki d̪ɔ nɔwaa.
হ্রদে একটি অভিশাপ আছে।,There is a curse in the lake.,ɟɔlaɾɛ əsis menaa.
ইংল্যান্ডে একটি নুন-তামাকের ফেরিওয়ালা আছে।,There is a pedlar of salt and tobacco in the england.,bilətɾɛ bə̃ɽiə̯̃ menaa.
বাজারটি ভালো।,The bazaar is good.,bad͡ʒaɾ d̪ɔ mɔ̃ɟa.
তোমরা টাকা পাবে না।,You all do not get the money.,apɛ d̪ɔ ʈaka bapɛ ɲama.
তোমরা পান করছ।,You all are drinking.,apɛpɛ ɲuɛd̪a.
পোশাকটি ভালো।,The attire is good.,bʰagwa d̪ɔ mɔ̃ɟa.
সেই সময় তুমি পাঠ পড়ে বাড়িতে যাবে।,"At that time, you study the lesson and then go to the house.",ɔkt̪ɛɾɛ am sikʰnɘt̪ paɽha͡o̯kat̪ɛ ɔɽaʔɾɛ calaʔa.
দয়া করে গ্রামে আসো।,Please come to the village.,d̪a.ja kat̪ɛ at̪oɾɛ hiɟuʔmɛ.
একটি খাবার গ্রামে আছে।,One food is in the village.,mit̪ʔ ɟɔmaʔ d̪ɔ at̪oɾɛ menaa.
ভেড়ার মাংসটি পরিষ্কার।,The mutton is clean.,bʰiɖi d͡ʒel d̪ɔ sapʰaa.
আমি দুধ ও পানি পান করব।,I will drink the milk and the water.,iɲ d̪ɔ t̪o̯͡a aɾ d̪aʔ ɲua.
শিশু কোথায় আছে?,Where is the child?,gid̪ɾɘ d̪ɔ ɔkaɾɛ menaa.
শহরে একটি মধু আছে।,There is a honey in the town.,sɔhɔɽɾɛ ɲɛlɛɾasa menaa.
সেই সময় আমি দুধ পান করে গ্রামে আসব।,"At that time, I drink the milk and then come to the village.",ɔkt̪ɛɾɛ iɲ t̪o̯͡a ɲukat̪ɛ at̪oɾɛ hiɟuʔa.
তুমি রান্না খাবে।,You will eat the cooked food.,am d̪ɔ basaŋ ɟɔma.
তোমরা টাকা পেয়েছিলে।,You all got the money.,apɛpɛ ʈaka ɲamkeda.
আমার আঙুলের ফোঁড়া গুরুত্বপূর্ণ।,My whitlow is important.,iɲaʔ aŋguɾ biɽhi d̪ɔ ɟɘɾuɽa.
কুয়ায় একটি আখড়া আছে।,There is a gathering in the well.,kuɲɾɛ akʰɾa menaa.
তোমরা দুধ পান করেছিলে।,You all drank the milk.,apɛpɛ t̪o̯͡a ɲukeda.
আজ আমি ভাষা লিখে শহরে খেলব।,"Today, I write the language and then play in the town.",t̪eheɲɾɛ iɲ pɘɾsi ɔlɔʔkat̪ɛ sɔhɔɽɾɛ gat̪ea.
তোমরা কথা লিখেছ।,You all have written the word.,apɛ d̪ɔ kat̪ʰa ɔlɔʔakada.
কিশোরটি গুরুত্বপূর্ণ।,The lad is important.,bat͡ʃʰɽa d̪ɔ ɟɘɾuɽa.
তোমরা ছবি পাবে না।,You all do not get the photo.,apɛ d̪ɔ pʰɔʈɔ bapɛ ɲama.
তারা বসছে।,They are sitting.,oŋkoko d̪uɽup̚ʔɛd̪a.
তোমরা ঘড়ি বিক্রি করবে না।,You all do not sell the watch.,apɛ d̪ɔ gʰuɽi bapɛ ɘkʰɾiɲa.
খাবারটি পরিষ্কার।,The food is clean.,ɟɔmaʔ d̪ɔ sapʰaa.
আমি লিখছি।,I am writing.,iɲiɲ ɔlɔʔɛd̪a.
বধিরতাটি ভালো।,The deafness is good.,bəhiɾ bəi̯ d̪ɔ mɔ̃ɟa.
আজ সে ভাদ্র মাস দেখে স্কুলে কাজ করবে।,"Today, he/she see the august-september and then work in the school.",t̪eheɲɾɛ uni bʰadɔɾ ɲɛlkat̪ɛ iskulɾɛ kɘmia.
ঘড়িটি নতুন।,The watch is new.,gʰuɽi d̪ɔ nɔwaa.
তোমরা আস্থা দেখেছ।,You all have seen the confidence.,apɛ d̪ɔ baɾsa ɲɛlakada.
তোমরা রান্না খাবে।,You all will eat the cooked food.,apɛ d̪ɔ basaŋ ɟɔma.
আমি মোবাইল ফোন বিক্রি করেছিলাম।,I sold the mobile phone.,iɲiɲ mɔbaĭl pʰon ɘkʰɾiɲkeda.
আজ তারা খাবার কিনে গ্রামে খেলবে।,"Today, they buy the food and then play in the village.",t̪eheɲɾɛ oŋko ɟɔmaʔ kiɾiɲkat̪ɛ at̪oɾɛ gat̪ea.
সে কাজ করছে।,He/she is working.,unii̯ kɘmiɛd̪a.
আমি বাবা সাহায্য করেছি।,I have helped the father.,iɲ d̪ɔ baba gɔɽɔakada.
"তুমি খাবার পাবে, কিন্তু খাবার পাবে না।","You will get the food, but do not get the food.",am d̪ɔ ɟɔmaʔ ɲama mɛnkʰan ɟɔmaʔ bam ɲama.
তোমরা কথা লিখবে।,You all will write the word.,apɛ d̪ɔ kat̪ʰa ɔlɔʔa.
তার উই পোকা ছোট।,His/her termite is small.,uniaʔ bʰuku d̪ɔ lɘʈua.
আমরা মোবাইল ফোন বিক্রি করেছি।,We have sold the mobile phone.,alɛ d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲakada.
আমাদের মোবাইল ফোন পরিষ্কার।,Our mobile phone is clean.,alɛaʔ mɔbaĭl pʰon d̪ɔ sapʰaa.
গতকাল সে খাবার কিনে কুয়ায় খেলবে।,"Yesterday, he/she buy the food and then play in the well.",hɔlaɾɛ uni ɟɔmaʔ kiɾiɲkat̪ɛ kuɲɾɛ gat̪ea.
"আমরা খাবার কিনব, কিন্তু খাবার কিনব না।","We will buy the food, but do not buy the food.",alɛ d̪ɔ ɟɔmaʔ kiɾiɲa mɛnkʰan ɟɔmaʔ balɛ kiɾiɲa.
তুমি বাবা সাহায্য করবে।,You will help the father.,am d̪ɔ baba gɔɽɔa.
তুমি ভাষা পড়েছিলে।,You studied the language.,amɛm pɘɾsi paɽha͡o̯keda.
কুয়ায় একটি নির্ভরতা আছে।,There is a reliance in the well.,kuɲɾɛ bʰaɾsa menaa.
বাসস্থানে একটি স্বস্তি আছে।,There is a relief in the residence.,basaɾɛ ao̯san menaa.
গতকাল আমি মাছ কিনে গ্রামে খেলব।,"Yesterday, I buy the fish and then play in the village.",hɔlaɾɛ iɲ haku kiɾiɲkat̪ɛ at̪oɾɛ gat̪ea.
